iter	Passed	Remaining
0	46	46447
1	47	23534
2	47	15864
3	48	12053
4	49	9760
5	49	8249
6	50	7155
7	51	6336
8	51	5699
9	52	5189
10	53	4768
11	53	4423
12	54	4126
13	54	3872
14	55	3652
15	56	3454
16	56	3280
17	57	3123
18	57	2983
19	58	2858
20	58	2745
21	59	2641
22	59	2546
23	60	2459
24	61	2380
25	61	2305
26	62	2236
27	62	2171
28	63	2111
29	63	2056
30	64	2004
31	64	1955
32	65	1921
33	66	1887
34	66	1846
35	68	1827
36	68	1790
37	69	1755
38	69	1721
39	70	1689
40	70	1659
41	71	1630
42	72	1603
43	72	1577
44	73	1551
45	73	1527
46	74	1503
47	74	1487
48	75	1465
49	76	1445
50	76	1425
51	77	1406
52	77	1387
53	78	1369
54	78	1351
55	79	1335
56	79	1318
57	80	1303
58	80	1288
59	81	1273
60	82	1262
61	82	1250
62	83	1240
63	83	1227
64	84	1215
65	85	1204
66	85	1193
67	86	1182
68	86	1169
69	87	1156
70	87	1143
71	87	1130
72	88	1118
73	88	1106
74	88	1094
75	89	1083
76	89	1072
77	89	1061
78	90	1050
79	90	1040
80	90	1029
81	91	1020
82	91	1008
83	91	999
84	91	989
85	92	980
86	92	971
87	92	963
88	93	954
89	93	946
90	93	938
91	94	930
92	94	922
93	94	914
94	95	907
95	95	899
96	95	892
97	96	887
98	96	880
99	97	873
100	97	866
101	97	860
102	98	854
103	98	847
104	98	841
105	99	835
106	99	829
107	99	823
108	100	817
109	100	812
110	100	806
111	101	800
112	101	795
113	101	790
114	102	785
115	102	779
116	102	774
117	102	769
118	103	764
119	103	759
120	103	754
121	104	749
122	104	744
123	104	740
124	105	735
125	105	731
126	105	726
127	106	722
128	106	718
129	106	714
130	107	710
131	107	706
132	107	702
133	108	698
134	108	694
135	108	691
136	109	687
137	109	683
138	109	680
139	110	676
140	110	673
141	110	669
142	111	665
143	111	662
144	111	658
145	112	655
146	112	652
147	112	649
148	113	646
149	113	643
150	113	640
151	114	637
152	114	634
153	114	631
154	115	628
155	115	625
156	115	622
157	116	619
158	116	616
159	116	614
160	117	610
161	117	608
162	117	605
163	118	602
164	118	600
165	118	597
166	119	594
167	119	592
168	119	589
169	120	587
170	120	584
171	120	582
172	121	579
173	121	577
174	121	575
175	122	572
176	122	570
177	122	567
178	123	565
179	123	563
180	124	561
181	124	558
182	124	556
183	125	554
184	125	552
185	125	550
186	126	547
187	126	545
188	126	543
189	127	541
190	127	539
191	127	537
192	128	535
193	128	533
194	128	531
195	129	529
196	129	527
197	129	526
198	130	523
199	130	521
200	130	520
201	131	518
202	131	516
203	131	514
204	132	512
205	132	510
206	132	508
207	133	507
208	133	505
209	133	503
210	134	501
211	134	499
212	134	498
213	135	496
214	135	494
215	135	492
216	136	491
217	136	489
218	136	487
219	137	485
220	137	484
221	137	482
222	138	480
223	138	479
224	138	477
225	138	475
226	139	474
227	139	472
228	139	471
229	140	469
230	140	468
231	140	466
232	141	465
233	141	463
234	141	462
235	142	460
236	142	458
237	142	457
238	143	455
239	143	454
240	143	453
241	144	451
242	144	450
243	144	448
244	145	447
245	145	446
246	145	444
247	146	443
248	146	441
249	146	440
250	147	439
251	147	437
252	147	436
253	148	434
254	148	433
255	148	432
256	149	430
257	149	429
258	149	428
259	150	426
260	150	425
261	150	424
262	151	423
263	151	421
264	151	420
265	151	419
266	152	418
267	152	416
268	152	415
269	153	414
270	153	413
271	153	411
272	154	410
273	154	409
274	154	408
275	155	407
276	155	406
277	155	404
278	156	403
279	156	402
280	156	401
281	157	400
282	157	399
283	157	398
284	158	396
285	158	395
286	158	394
287	159	393
288	159	392
289	159	391
290	160	390
291	160	389
292	160	388
293	161	387
294	161	386
295	161	385
296	162	384
297	162	382
298	162	381
299	163	380
300	163	379
301	163	378
302	164	377
303	164	376
304	164	375
305	165	374
306	165	373
307	165	372
308	166	371
309	166	370
310	166	369
311	167	368
312	167	367
313	167	366
314	168	365
315	168	364
316	168	363
317	169	362
318	169	361
319	169	360
320	170	359
321	170	358
322	170	357
323	171	356
324	171	355
325	171	354
326	172	354
327	172	353
328	172	352
329	172	351
330	173	350
331	173	349
332	173	348
333	174	347
334	174	346
335	174	345
336	175	344
337	175	343
338	175	342
339	176	341
340	176	341
341	176	340
342	177	339
343	177	338
344	177	337
345	178	336
346	178	335
347	178	334
348	178	333
349	179	332
350	179	332
351	179	331
352	180	330
353	180	329
354	180	328
355	181	327
356	181	326
357	181	325
358	182	325
359	182	324
360	182	323
361	182	322
362	183	321
363	183	320
364	183	320
365	184	319
366	184	318
367	184	317
368	185	316
369	185	316
370	185	315
371	186	314
372	186	313
373	186	312
374	187	312
375	187	311
376	187	310
377	188	309
378	188	308
379	188	308
380	189	307
381	189	306
382	189	305
383	190	304
384	190	304
385	190	303
386	191	302
387	191	301
388	191	301
389	192	300
390	192	299
391	192	298
392	193	298
393	193	297
394	193	296
395	193	295
396	194	295
397	194	294
398	194	293
399	195	292
400	195	292
401	195	291
402	196	290
403	196	289
404	196	289
405	197	288
406	197	287
407	197	286
408	197	286
409	198	285
410	198	284
411	198	283
412	199	283
413	199	282
414	199	281
415	200	281
416	200	280
417	200	279
418	201	278
419	201	278
420	201	277
421	202	276
422	202	276
423	202	275
424	203	274
425	203	274
426	203	273
427	204	272
428	204	272
429	204	271
430	205	270
431	205	270
432	205	269
433	206	268
434	206	268
435	206	267
436	207	266
437	207	266
438	207	265
439	207	264
440	208	263
441	208	263
442	208	262
443	209	261
444	209	261
445	209	260
446	210	259
447	210	259
448	210	258
449	211	258
450	211	257
451	211	256
452	212	256
453	212	255
454	212	254
455	213	254
456	213	253
457	213	252
458	214	252
459	214	251
460	214	250
461	214	250
462	215	249
463	215	249
464	215	248
465	216	247
466	216	247
467	216	246
468	217	246
469	217	245
470	217	244
471	218	244
472	218	243
473	218	242
474	219	242
475	219	241
476	219	241
477	220	240
478	220	239
479	220	239
480	221	238
481	221	237
482	221	237
483	222	236
484	222	236
485	222	235
486	223	234
487	223	234
488	223	233
489	224	233
490	224	232
491	224	231
492	224	231
493	225	230
494	225	230
495	225	229
496	226	228
497	226	228
498	226	227
499	227	227
500	227	226
501	227	225
502	228	225
503	228	224
504	228	224
505	229	223
506	229	223
507	229	222
508	230	221
509	230	221
510	230	220
511	230	220
512	231	219
513	231	218
514	231	218
515	232	217
516	232	217
517	232	216
518	233	216
519	233	215
520	233	214
521	234	214
522	234	213
523	234	213
524	235	212
525	235	212
526	235	211
527	235	210
528	236	210
529	236	209
530	236	209
531	237	208
532	237	208
533	237	207
534	238	207
535	238	206
536	238	205
537	239	205
538	239	204
539	239	204
540	240	203
541	240	203
542	240	202
543	241	202
544	241	201
545	241	200
546	242	200
547	242	199
548	242	199
549	243	198
550	243	198
